iteration,ka_mean,dataset,type
3,0.9580632955603849,news,Filtered & Balanced
4,0.9574239453914067,news,Filtered & Balanced
5,0.955878084179971,news,Filtered & Balanced
6,0.9565275708920946,news,Filtered & Balanced
7,0.9566132020174449,news,Filtered & Balanced
8,0.9570262592627127,news,Filtered & Balanced
9,0.9559989819555498,news,Filtered & Balanced
10,0.9555686448076441,news,Filtered & Balanced
11,0.9554808937106973,news,Filtered & Balanced
12,0.9560629863898686,news,Filtered & Balanced
13,0.9550775329905038,news,Filtered & Balanced
14,0.9537659485251571,news,Filtered & Balanced
15,0.9535350308470827,news,Filtered & Balanced
16,0.9525746137571794,news,Filtered & Balanced
17,0.952808809926568,news,Filtered & Balanced
18,0.9535058027065482,news,Filtered & Balanced
19,0.9534484005869326,news,Filtered & Balanced
20,0.9533794461250661,news,Filtered & Balanced
21,0.9537351348584893,news,Filtered & Balanced
22,0.9536112475470714,news,Filtered & Balanced
23,0.9533799949968442,news,Filtered & Balanced
24,0.9524145322227128,news,Filtered & Balanced
25,0.9523149958311719,news,Filtered & Balanced
26,0.9515276606961063,news,Filtered & Balanced
27,0.9517209564755539,news,Filtered & Balanced
28,0.9518951768498208,news,Filtered & Balanced
29,0.9513182637666806,news,Filtered & Balanced
1,0.9440262441053279,stance_long,Filtered & Balanced
2,0.946214477697581,stance_long,Filtered & Balanced
3,0.9502260792578666,stance_long,Filtered & Balanced
4,0.9452113252978271,stance_long,Filtered & Balanced
5,0.9481041098083502,stance_long,Filtered & Balanced
6,0.9484100972589363,stance_long,Filtered & Balanced
7,0.9465600047892037,stance_long,Filtered & Balanced
8,0.9480901852045067,stance_long,Filtered & Balanced
9,0.950905234256102,stance_long,Filtered & Balanced
10,0.9508896323393221,stance_long,Filtered & Balanced
11,0.9526864134730757,stance_long,Filtered & Balanced
12,0.9534601670591473,stance_long,Filtered & Balanced
13,0.9540185129272061,stance_long,Filtered & Balanced
14,0.9544318870561546,stance_long,Filtered & Balanced
15,0.9547746545083172,stance_long,Filtered & Balanced
16,0.9559623059617381,stance_long,Filtered & Balanced
17,0.9570311806041415,stance_long,Filtered & Balanced
18,0.9566977743950743,stance_long,Filtered & Balanced
19,0.956692579769833,stance_long,Filtered & Balanced
20,0.956097480146007,stance_long,Filtered & Balanced
21,0.957204078268539,stance_long,Filtered & Balanced
22,0.9573262762217969,stance_long,Filtered & Balanced
23,0.9575609806647994,stance_long,Filtered & Balanced
24,0.9572493226879526,stance_long,Filtered & Balanced
25,0.9566007336132918,stance_long,Filtered & Balanced
26,0.9563870952562189,stance_long,Filtered & Balanced
27,0.9571428438440196,stance_long,Filtered & Balanced
28,0.9567713113845076,stance_long,Filtered & Balanced
29,0.9557685810524057,stance_long,Filtered & Balanced
1,0.9219240426867545,stance,Filtered & Balanced
2,0.9159179932381603,stance,Filtered & Balanced
3,0.9278621427692113,stance,Filtered & Balanced
4,0.9301474478268718,stance,Filtered & Balanced
5,0.931049041686941,stance,Filtered & Balanced
6,0.9329350202445127,stance,Filtered & Balanced
7,0.9312039512660255,stance,Filtered & Balanced
8,0.9336434674389106,stance,Filtered & Balanced
9,0.9314072013313538,stance,Filtered & Balanced
10,0.9310749068935719,stance,Filtered & Balanced
11,0.9295110724591299,stance,Filtered & Balanced
12,0.9281821128070373,stance,Filtered & Balanced
13,0.9292644949926816,stance,Filtered & Balanced
14,0.9300074720152433,stance,Filtered & Balanced
15,0.9303904167142131,stance,Filtered & Balanced
16,0.9306151325648223,stance,Filtered & Balanced
17,0.9311900104964723,stance,Filtered & Balanced
18,0.9310819955822432,stance,Filtered & Balanced
19,0.9310304349496306,stance,Filtered & Balanced
20,0.9299538086019596,stance,Filtered & Balanced
21,0.9301507556879808,stance,Filtered & Balanced
22,0.9296032816874015,stance,Filtered & Balanced
23,0.9299317997253747,stance,Filtered & Balanced
24,0.9296551758913691,stance,Filtered & Balanced
25,0.9297485010055574,stance,Filtered & Balanced
26,0.9308164886712772,stance,Filtered & Balanced
27,0.9311420297913087,stance,Filtered & Balanced
28,0.9310734467171979,stance,Filtered & Balanced
29,0.9314596464254712,stance,Filtered & Balanced
1,0.8661034688995215,synth_short,Filtered & Balanced
2,0.8346795258187664,synth_short,Filtered & Balanced
3,0.8388089200477327,synth_short,Filtered & Balanced
4,0.8264042726786315,synth_short,Filtered & Balanced
5,0.833690036777221,synth_short,Filtered & Balanced
6,0.8226322863584872,synth_short,Filtered & Balanced
7,0.8209802114705942,synth_short,Filtered & Balanced
8,0.8197378894303948,synth_short,Filtered & Balanced
9,0.8242912565889176,synth_short,Filtered & Balanced
10,0.8250811130871704,synth_short,Filtered & Balanced
11,0.8217527534927265,synth_short,Filtered & Balanced
12,0.8233833115569368,synth_short,Filtered & Balanced
13,0.8205953837617329,synth_short,Filtered & Balanced
14,0.8231056996258928,synth_short,Filtered & Balanced
15,0.8211701169877258,synth_short,Filtered & Balanced
16,0.8234593234642107,synth_short,Filtered & Balanced
17,0.8219842026576422,synth_short,Filtered & Balanced
18,0.8221979085295881,synth_short,Filtered & Balanced
19,0.822355983048981,synth_short,Filtered & Balanced
20,0.8230976297463479,synth_short,Filtered & Balanced
21,0.8245955095827104,synth_short,Filtered & Balanced
22,0.8245728566099549,synth_short,Filtered & Balanced
23,0.8234737659488942,synth_short,Filtered & Balanced
24,0.8221211123158079,synth_short,Filtered & Balanced
25,0.8222832312603869,synth_short,Filtered & Balanced
26,0.8228735676084558,synth_short,Filtered & Balanced
27,0.8218614814135964,synth_short,Filtered & Balanced
28,0.8209081125122335,synth_short,Filtered & Balanced
29,0.8207403331210853,synth_short,Filtered & Balanced
1,0.9357815928746611,synth,Filtered & Balanced
2,0.9412434704057185,synth,Filtered & Balanced
3,0.9398996821762641,synth,Filtered & Balanced
4,0.9414985161107062,synth,Filtered & Balanced
5,0.9465690282454005,synth,Filtered & Balanced
