temperature,ka_mean,frac,dataset,type
5.0,0.7766340680261318,0.5,manifestos,Filtered
5.0,0.7761351154130376,0.75,manifestos,Filtered
0.1,0.9209204342894183,0.02,mii_long,Filtered
0.1,0.9110429799098836,0.05,mii_long,Filtered
0.1,0.9253216011492751,0.1,mii_long,Filtered
0.1,0.9365382301361739,0.25,mii_long,Filtered
0.1,0.9369035933590928,0.5,mii_long,Filtered
0.1,0.9363268164919205,0.75,mii_long,Filtered
0.3,1.0,0.02,mii_long,Filtered
0.3,0.9783425907976029,0.05,mii_long,Filtered
0.3,0.9530491955398324,0.1,mii_long,Filtered
0.3,0.9619822354472689,0.25,mii_long,Filtered
0.3,0.9602146339351214,0.5,mii_long,Filtered
0.3,0.9611773248498235,0.75,mii_long,Filtered
0.5,0.9719231581169516,0.02,mii_long,Filtered
0.5,0.9580452236604948,0.05,mii_long,Filtered
0.5,0.9608036976334798,0.1,mii_long,Filtered
0.5,0.9600641259477015,0.25,mii_long,Filtered
0.5,0.9590485060842456,0.5,mii_long,Filtered
0.5,0.959718316895901,0.75,mii_long,Filtered
0.7,0.9831897457449044,0.02,mii_long,Filtered
0.7,0.9589298095354623,0.05,mii_long,Filtered
0.7,0.9691887783305694,0.1,mii_long,Filtered
0.7,0.960167805285316,0.25,mii_long,Filtered
0.7,0.9607909418108651,0.5,mii_long,Filtered
0.7,0.9603921276771252,0.75,mii_long,Filtered
0.9,0.9521082769390943,0.02,mii_long,Filtered
0.9,0.9699332021139748,0.05,mii_long,Filtered
0.9,0.9694338083395834,0.1,mii_long,Filtered
0.9,0.9671659475161616,0.25,mii_long,Filtered
0.9,0.9656950559748817,0.5,mii_long,Filtered
0.9,0.9648560795242886,0.75,mii_long,Filtered
1.1,0.9152553854491261,0.02,mii_long,Filtered
1.1,0.932584928960262,0.05,mii_long,Filtered
1.1,0.9363498918757632,0.1,mii_long,Filtered
1.1,0.9353637100806744,0.25,mii_long,Filtered
1.1,0.9341411047087661,0.5,mii_long,Filtered
1.1,0.9365201538299026,0.75,mii_long,Filtered
1.3,0.8913500404203719,0.02,mii_long,Filtered
1.3,0.9364377974167233,0.05,mii_long,Filtered
1.3,0.9422043077516447,0.1,mii_long,Filtered
1.3,0.9476672532545534,0.25,mii_long,Filtered
1.3,0.9488048654677793,0.5,mii_long,Filtered
1.3,0.9514371527481672,0.75,mii_long,Filtered
1.5,1.0,0.02,mii_long,Filtered
1.5,0.9068576207401212,0.05,mii_long,Filtered
1.5,0.8996949767771596,0.1,mii_long,Filtered
1.5,0.8988533986482279,0.25,mii_long,Filtered
1.5,0.8940957763022347,0.5,mii_long,Filtered
1.5,0.8940564307083928,0.75,mii_long,Filtered
1.7,0.9460269865067467,0.02,mii_long,Filtered
1.7,0.9292707170022758,0.05,mii_long,Filtered
1.7,0.9289909966088125,0.1,mii_long,Filtered
1.7,0.9254650020627877,0.25,mii_long,Filtered
1.7,0.9305978032080962,0.5,mii_long,Filtered
1.7,0.9302480060319259,0.75,mii_long,Filtered
1.9,0.9118187385180649,0.02,mii_long,Filtered
1.9,0.894510528853882,0.05,mii_long,Filtered
1.9,0.9016941527013902,0.1,mii_long,Filtered
1.9,0.9119084024387081,0.25,mii_long,Filtered
1.9,0.9107080836755951,0.5,mii_long,Filtered
1.9,0.9085148543162151,0.75,mii_long,Filtered
2.1,0.9504476368936081,0.02,mii_long,Filtered
2.1,0.9431988732134199,0.05,mii_long,Filtered
2.1,0.9480416265461817,0.1,mii_long,Filtered
2.1,0.947603197537953,0.25,mii_long,Filtered
2.1,0.9458343868518734,0.5,mii_long,Filtered
2.1,0.947700620038457,0.75,mii_long,Filtered
2.3,1.0,0.02,mii_long,Filtered
2.3,0.9733581164807931,0.05,mii_long,Filtered
2.3,0.9384295803905276,0.1,mii_long,Filtered
2.3,0.9595052615596641,0.25,mii_long,Filtered
2.3,0.963100588805858,0.5,mii_long,Filtered
2.3,0.9613002379715125,0.75,mii_long,Filtered
2.5,0.7619047619047619,0.02,mii_long,Filtered
